측정소,이산화질소,일산화탄소
전주시 노송동,0.015,0.4
전주시 삼천동,0.014,0.4
전주시 서신동,0.027,0.5
전주시 송천동,0.022,0.4
전주시 팔복동,0.014,0.5
군산시 개정동,0.01,0.6
군산시 비응도,0.013,0.5
군산시 소룡동,0.013,0.5
군산시 신풍동,0.011,0.5
군산시 옥산면,0.015,0.6
익산시 남중동,0.013,0.4
익산시 모현동,0.012,0.3
익산시 삼기면,0.013,0.5
익산시 용동면,0.012,0.5
익산시 팔봉동,0.017,0.4
익산시 함열읍,0.016,0.5
정읍시 신태인,0.01,0.4
정읍시 연지동,0.014,0.4
남원시 죽항동,0.012,0.4
김제시 요촌동,0.015,0.4
완주군 고산면,0.01,0.4
완주군 봉동읍,0.016,0.4
진안군 진안읍,0.01,0.3
무주군 무주읍,0.008,0.4
장수군 장수읍,0.006,0.4
임실군 임실읍,0.007,0.4
순창군 순창읍,0.008,0.3
고창군 고창읍,0.011,0.4
고창군 심원면,0.006,0.3
부안군 부안읍,0.011,0.5
